metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,TRUE,FALSE,1000,GEO,119.45408900000001,126.55003457236421,180,1,1.2615105691105981e-4
top1,TRUE,FALSE,1000,GER,124.368808,131.96669233461077,-48,9,4.050540122701017e-4
top1,TRUE,FALSE,1000,GRE,146.19122099999998,157.10837397909592,-405,24,2.071845663852086e-4
top1,TRUE,FALSE,1000,HUN,172.526426,167.94691518020306,350,-16,1.1451617107740655e-4
top1,TRUE,FALSE,1000,INA,52.287940000000006,48.84049028841948,-254,5,1.1769184478907533e-4
top1,TRUE,FALSE,1000,IND,86.061017,111.27530537398782,201,18,1.9016618494883028e-4
top1,TRUE,FALSE,1000,IRI,36.39434299999999,41.485234933167355,242,-3,8.543390615643563e-5
top1,TRUE,FALSE,1000,IRQ,298.861059,285.95909282210545,164,-18,1.311194194013384e-4
top1,TRUE,FALSE,1000,ISR,195.335894,217.4764878409306,-133,26,1.357929088772428e-4
top1,TRUE,FALSE,1000,ITA,85.247534,81.35076765125466,97,-7,1.3980039304404619e-4
top1,TRUE,FALSE,1000,JOR,151.339226,167.40529082366822,-222,23,5.328784759475118e-5
top1,TRUE,FALSE,1000,KAZ,34.109526,40.13143289218062,-34,7,1.0317541720430442e-4
top1,TRUE,FALSE,1000,KEN,392.094565,400.05136185905917,-7,8,1.4540083364636508e-4
top1,TRUE,FALSE,1000,KGZ,284.445112,284.6232188156434,66,-2,7.59340289263077e-5
top1,TRUE,FALSE,1000,KOR,228.01233,228.63165677332339,-12,1,3.128398026321569e-5
top1,TRUE,FALSE,1000,LAT,242.12485700000002,257.50682664772194,456,0,8.541107430320477e-5
top1,TRUE,FALSE,1000,LTU,-47.619914,-0.7588763844711792,782,20,2.5853287999131746e-4
top1,TRUE,FALSE,1000,MAS,272.305908,272.4961585765567,36,-1,3.1655110864582665e-5
top1,TRUE,FALSE,1000,MDA,233.579374,260.33320853367803,277,17,8.602866208926488e-5
top1,TRUE,FALSE,1000,MEX,247.947837,264.47131262369004,-87,19,1.112907444692947e-4
top1,TRUE,FALSE,1000,MGL,80.666481,82.15070614144686,44,0,3.566440417948838e-4
top1,TRUE,FALSE,1000,NED,155.766272,166.52420538232806,410,-3,8.497683220993322e-5
top1,TRUE,FALSE,1000,NEP,358.49476000000004,370.3159390064931,229,4,7.2185286561006e-5
top1,TRUE,FALSE,1000,NOR,249.78488700000003,247.3790917672916,293,-12,3.3282067073215204e-5
top1,TRUE,FALSE,1000,PER,165.653171,162.49177124738796,-33,-2,9.356274512423348e-5
top1,TRUE,FALSE,1000,PHI,327.50267,337.4186443477644,-40,11,1.874279739978029e-4
top1,TRUE,FALSE,1000,POL,235.515598,221.11321583831676,-93,-11,1.408362348104607e-4
top1,TRUE,FALSE,1000,POR,203.820778,202.8438868904951,305,-11,6.576280227470527e-5
top1,TRUE,FALSE,1000,ROU,125.155613,124.9613153420148,-279,9,2.2197325481757173e-4
top1,TRUE,FALSE,1000,RSA,349.173744,376.31347747311463,167,21,8.34793597004634e-5
top1,TRUE,FALSE,1000,RUS,173.419863,180.24730016063222,-253,15,8.441648058624572e-4
top1,TRUE,FALSE,1000,SGP,-39.21916999999999,-37.980516453353204,-24,2,5.460235637561247e-5
top1,TRUE,FALSE,1000,SLO,190.835764,186.07814888118753,-475,11,1.0323067515040104e-4
top1,TRUE,FALSE,1000,SRB,155.80678,152.10835839066834,619,-24,2.3857189578861657e-4
top1,TRUE,FALSE,1000,SRI,300.994335,312.6535980331915,376,-1,3.2683920857494646e-5
top1,TRUE,FALSE,1000,SUI,138.358877,153.2928832320797,-377,27,9.43478563132974e-5
top1,TRUE,FALSE,1000,SVK,108.18257700000001,99.3973130555573,-139,-4,1.3681947592957618e-4
top1,TRUE,FALSE,1000,SWE,-16.577024999999992,-39.91309513024734,219,-30,9.367461344269669e-5
top1,TRUE,FALSE,1000,THA,496.424209,498.276791533647,146,-3,4.901082150647732e-5
top1,TRUE,FALSE,1000,TUR,73.731588,60.88089575892027,-47,-11,1.2959942744888536e-4
top1,TRUE,FALSE,1000,UAE,629.56506,642.5884612703999,295,3,1.0989831331322678e-5
top1,TRUE,FALSE,1000,UKR,96.17594700000001,120.87750355572265,34,23,8.291778905991588e-4
top1,TRUE,FALSE,1000,USA,248.890448,247.53305573738166,233,-9,1.045491137803264e-4
top1,TRUE,FALSE,1000,UZB,151.718145,160.5627795607424,-345,20,1.1481188792198458e-4
top1,TRUE,FALSE,1000,VEN,332.256009,356.7727102488613,575,5,6.0654048157820395e-5
top1,TRUE,FALSE,1000,VIE,279.419105,279.7078538521301,130,-4,4.481554104647268e-5
top1,TRUE,FALSE,1000,ZAM,315.648522,321.7932146895807,0,6,9.224638831204774e-5
top1,TRUE,FALSE,1000,ZIM,494.411883,514.8618077639574,333,9,4.466462453041578e-5
top1,TRUE,FALSE,1400,ARG,125.74095299999999,139.5228242369823,456,-2,1.0564116321996513e-4
top1,TRUE,FALSE,1400,ARM,263.879123,267.44624023612135,167,-4,1.06340702078059e-4
